Logradouro,CEP,Bairro
Alameda das Rosas,77545-864,Setor Sul
Alameda dos Buriris,77545-860,Setor Sul
Alameda Issac Soarez Cavalcante,77540-592,Lago Sul
Alameda Pernada,77543-022,Milena I
Alameda 1,77545-694,Jardim do Lago
Alameda 10,77545-676,Jardim do Lago
Alameda 2,77545-692,Jardim do Lago
Alameda 3,77545-690,Jardim do Lago
Alameda 4,77545-688,Jardim do Lago
Alameda 5,77545-672,Jardim do Lago
Alameda 6,77545-674,Jardim do Lago
Alameda 7,77545-698,Jardim do Lago
Alameda 8,77545-700,Jardim do Lago
Alameda 9,77545-702,Jardim do Lago
Avenida A,77540-208,Jardim Limeira
Avenida A,77543-084,Milena I
Avenida A,77543-352,Novo Jardim Paulista
Avenida A,77546-524,Jardim Universitário
Avenida Abrahão José Mendes,77540-078,Serrano
Avenida Adalcy Gomes,77542-030,Milena 2
Avenida Águas do Araguaia,77545-482,Marista
Avenida Aquiles Maciel Bastos,77540-576,Lago Sul
Avenida Araraguara,77543-100,Jardim Paulista
Avenida Aureliano Neves,77546-090,Parque Industrial Álvaro Moreira Milhomem
Avenida B,77540-216,Jardim Limeira
Avenida B,77543-086,Milena I
Avenida B,77543-354,Novo Jardim Paulista
Avenida B,77546-526,Jardim Universitário
Avenida Beira Lago,77545-678,Jardim do Lago
Avenida Berenice Rêgo Moraes,77547-334,Neuton Moraes
Avenida Bernardo Sayão,77543-082,Milena I
Avenida Bernardo Sayão,77543-278,Jardim Paulista
Avenida Bernardo Sayão,77543-310,Terra Bela
Avenida Bernardo Sayão,77543-342,Vale do Araguaia
Avenida Bernardo Sayão,77545-036,Interlagos
Avenida Bernardo Sayão,77545-072,Centro
Avenida Bernardo Sayão,77545-102,Bela Vista
Avenida Bernardo Sayão,77545-236,Oeste
Avenida Brasil,77546-216,Jardim America
Avenida C,77543-356,Novo Jardim Paulista
Avenida C,77546-528,Jardim Universitário
Avenida Campinas,77543-110,Jardim Paulista
Avenida Carlos Savage,77540-046,Serrano
Avenida Ceará,77545-212,Oeste
Avenida Comercial 4,77546-008,Nova Fronteira
Avenida Couto Magalhães,77540-050,Serrano
